Công Ty TNHH Đầu Tư Khai Thác Bến Phà Giải	Hải Dương	Đường huyện 390C, Xã Thanh Lang, Huyện Thanh Hà, Tỉnh Hải Dương	Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu	0801252062	11-06-2018
Công Ty TNHH Đầu Tư Và Dịch Vụ Phương Anh Hd	Hải Dương	Thôn Quan Khê, Xã Việt Hồng, Huyện Thanh Hà, Tỉnh Hải Dương	Dịch vụ ăn uống khác	0801251527	31-05-2018
Công Ty TNHH Hợp Tác Quốc Tế Hoàng Gia Group	Hải Dương	Thôn Du Tái, Xã Tiền Tiến, Huyện Thanh Hà, Tỉnh Hải Dương	Dịch vụ hỗ trợ giáo dục	0801251365	29-05-2018
Công Ty TNHH Thương Mại Và Xuất Nhập Khẩu Thiên Bình Phát	Hải Dương	Thôn Lại Xá, Xã Thanh Thủy, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác	0801251118	25-05-2018
Công Ty TNHH Sản Xuất Thương Mại Và Dịch Vụ Xây Dựng Vũ Gia	Hải Dương	Thôn Cam Lộ, Xã Tân Việt, Huyện Thanh Hà, Tỉnh Hải Dương	Gia công cơ khí; xử lý và tráng phủ kim loại	0801251083	24-05-2018
Công Ty Cổ Phần Minh Đức Ltd	Hải Dương	Thôn An Liệt, Xã Thanh Hải, Huyện Thanh Hà, Tỉnh Hải Dương	Xây dựng nhà các loại	0801250805	22-05-2018
Công Ty TNHH Cơ Khí Đức Đạt	Hải Dương	Thôn Hoàng Xá, Xã Quyết Thắng, Huyện Thanh Hà, Tỉnh Hải Dương	Gia công cơ khí; xử lý và tráng phủ kim loại	0801249905	10-05-2018
Công Ty TNHH Thương Mại Dịch Vụ Và Vận Tải Quỳnh Nguyên	Hải Dương	Thôn Hoàng Xá, Xã Quyết Thắng, Huyện Thanh Hà, Tỉnh Hải Dương	Vận tải hàng hóa bằng đường bộ	0801248877	24-04-2018
Công Ty TNHH Một Thành Viên Xây Dựng Mtp	Hải Dương	Thôn Bá Nha, Xã Hợp Đức, Huyện Thanh Hà, Tỉnh Hải Dương	Xây dựng nhà các loại	0801248108	16-04-2018
Công Ty TNHH Khánh Chi 18	Hải Dương	Thôn Phúc Giới, Xã Thanh Bính, Huyện Thanh Hà, Tỉnh Hải Dương	Sản xuất hàng may sẵn (trừ trang phục)	0801247464	06-04-2018
