Công Ty TNHH Vận Tải Và Thương Mại Vân Phong	Nam Định	Xóm 9, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Vận tải hàng hóa đường thuỷ nội địa	0601161315	23-07-2018
Công Ty Cổ Phần Đầu Tư Kinh Doanh Thương Mại Thanh Bằng	Nam Định	Xóm Phú Ân, Xã Xuân Tân, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601161185	19-07-2018
Công Ty TNHH Kinh Doanh Thương Mại Thuận An	Nam Định	Xóm 9, Xã Xuân Tiến, Huyện Xuân Trường, Tỉnh Nam Định	Xây dựng nhà các loại	0601160745	04-07-2018
Công Ty TNHH Một Thành Viên Xnk 888	Nam Định	Số 66 phố Lạc Quần, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn máy móc, thiết bị và phụ tùng máy khác	0601160456	22-06-2018
Công Ty Cổ Phần May Kingdom	Nam Định	Xóm 6, Thôn Nghĩa Xá, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất hàng may sẵn (trừ trang phục)	0601160470	22-06-2018
Công Ty TNHH Xây Dựng Và Sản Xuất Thương Mại Thành Nam	Nam Định	Tổ 15, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất các sản phẩm khác từ giấy và bìa chưa được phân vào đâu	0601160368	20-06-2018
Công Ty Cổ Phần Đầu Tư Phát Triển Nam Thuận Phát	Nam Định	Xóm Phú Ân, Xã Xuân Tân, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601160336	20-06-2018
Công Ty TNHH Cơ Khí Nam Thịnh	Nam Định	Xóm 4, Xã Xuân Phú, Huyện Xuân Trường, Tỉnh Nam Định	Gia công cơ khí; xử lý và tráng phủ kim loại	0601160230	19-06-2018
Công Ty TNHH Xây Dựng Minh Hải H&h	Nam Định	Xóm 23, Xã Thọ Nghiệp, Huyện Xuân Trường, Tỉnh Nam Định	Xây dựng công trình kỹ thuật dân dụng khác	0601160223	19-06-2018
Công Ty TNHH Kiến Trúc Và Nội Thất D Home Interior	Nam Định	Xóm 8, Xã Xuân Bắc, Huyện Xuân Trường, Tỉnh Nam Định	Hoàn thiện công trình xây dựng	0601160093	14-06-2018
Công Ty TNHH Thương Mại Xăng Dầu Trường Giang Nđ	Nam Định	Xóm 4, Xã Xuân Châu, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0601160022	12-06-2018
Công Ty TNHH Đầu Tư Thương Mại Và Vận Tải Á Châu	Nam Định	Số 182, Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Vận tải hàng hóa ven biển và viễn dương	0601159605	05-06-2018
Công Ty Cổ Phần Bất Động Sản Xuân Trường	Nam Định	Tổ 18, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê	0601159108	21-05-2018
Công Ty Cổ Phần Dược Phẩm Hưng Cường	Nam Định	Số nhà 11, Phố Lạc Quần, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Bán lẻ thuốc, dụng cụ y tế, mỹ phẩm và vật phẩm vệ sinh trong các cửa hàng chuyên doanh	0601159080	21-05-2018
Công Ty TNHH Đông Tân Phát	Nam Định	Xóm 9, Xã Xuân Hòa, Huyện Xuân Trường, Tỉnh Nam Định	Cưa, xẻ, bào gỗ và bảo quản gỗ	0601159027	18-05-2018
Công Ty TNHH Nguyễn Hoàng Việt Vn	Nam Định	Tổ 1, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác	0601158908	17-05-2018
Công Ty Cổ Phần Thương Mại Tùng Phan	Nam Định	Xóm Giải Phóng, Xã Xuân Phú, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0601158425	07-05-2018
Công Ty TNHH Huyền Bính	Nam Định	Xóm Cựu, Xã Xuân Tân, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn máy móc, thiết bị và phụ tùng máy khác	0601158312	02-05-2018
Công Ty TNHH Thương Mại & Dịch Vụ Du Lịch Hoàng An	Nam Định	Xóm 3, Xã Xuân Đài, Huyện Xuân Trường, Tỉnh Nam Định	Đại lý du lịch	0601158217	02-05-2018
Công Ty TNHH Thương Mại Và Dịch Vụ An Nhàn	Nam Định	Xóm 17, Xã Xuân Phong, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0601158168	26-04-2018
Công Ty TNHH Thương Mại Và Vận Tải Quốc Tế Minh Châu	Nam Định	Xóm 3, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Đóng tàu và cấu kiện nổi	0601157534	11-04-2018
Công Ty TNHH Thương Mại & Sản Xuất Hq Việt Nam	Nam Định	Xóm 4, Xã Xuân Hồng, Huyện Xuân Trường, Tỉnh Nam Định	Sản xuất hàng may sẵn (trừ trang phục)	0601157164	03-04-2018
Công Ty TNHH Đầu Tư Dịch Vụ Và Thương Mại Ngọc Huy	Nam Định	Xóm 14, Xã Xuân Phú, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn máy móc, thiết bị và phụ tùng máy khác	0601157157	03-04-2018
Công Ty Cổ Phần Thương Mại Xăng Dầu Thành Phong	Nam Định	Xóm 22, Xã Xuân Hồng, Huyện Xuân Trường, Tỉnh Nam Định	Bán lẻ nhiên liệu động cơ trong các cửa hàng chuyên doanh	0601157238	03-04-2018
Công Ty Cổ Phần Vận Tải Và Phát Triển Thương Mại Phúc Long	Nam Định	Tổ 13, Thị Trấn Xuân Trường, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601156964	28-03-2018
Công Ty TNHH Sản Xuất Kinh Doanh Bích Quân	Nam Định	Đội 7, Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan	0601156805	26-03-2018
Công Ty TNHH Nam Đăng Phát	Nam Định	Xóm 9, Xã Xuân Đài, Huyện Xuân Trường, Tỉnh Nam Định	Cưa, xẻ, bào gỗ và bảo quản gỗ	0601156770	22-03-2018
Công Ty TNHH Lakeland (vietnam) Industries	Nam Định	Xóm 8 (Thuê nhà xưởng của công ty TNHH DT Xuân Trường), Xã Xuân Trung, Huyện Xuân Trường, Tỉnh Nam Định	May trang phục (trừ trang phục từ da lông thú)	0601156682	21-03-2018
Công Ty TNHH Lâm Sản Quang Huy	Nam Định	Xóm Bắc, Xã Xuân Tân, Huyện Xuân Trường, Tỉnh Nam Định	Cưa, xẻ, bào gỗ và bảo quản gỗ	0601156026	05-03-2018
Công Ty TNHH Toàn Thắng Xt	Nam Định	Xóm 6, Xã Xuân Hòa, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn tổng hợp	0601155791	26-02-2018
Công Ty TNHH Hoàng Phong Tiến	Nam Định	Thôn Đông Thắng, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng	0601155720	09-02-2018
Công Ty TNHH Đầu Tư Thương Mại Tổng Hợp Minh Tuấn	Nam Định	Xóm Cống Đá, Xã Xuân Ninh, Huyện Xuân Trường, Tỉnh Nam Định	Vận tải hàng hóa bằng đường bộ	0601155671	07-02-2018
